title,url,description,stars,language,last_updated
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇. AI chatbot for psychology consultation.,55,Jupyter Notebook,2023-05-30T01:23:14.626Z
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactive mental health companion that uses Large Language Models (LLMs) combined with RAG to provide context-aware mental",21,Python,2025-11-19T00:24:20.363Z
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AI based Mental Health Counsellor / Mental Health Assistant,44,Python,2025-05-26T12:52:53.256Z
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI &amp; ML Based Mental Health Diagnosis &amp; Consulting App. ,90,Dart,2022-11-25T07:03:34.879Z
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existing mental health screening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,JavaScript,2025-09-04T09:40:16.245Z
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…",27,JavaScript,2024-10-21T13:46:37.312Z
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,None,14,Dart,2025-03-23T05:06:03.967Z
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-," Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transformer, CNN, and ViT for detecting emot…",34,Python,2025-01-30T10:17:40.997Z
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensive mental health monitoring application using modern web technologies.,21,HTML,2026-04-19T17:10:17.356Z
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients with mental health problems. ,26,,2018-05-24T18:38:56.430Z
