id,name,tagline,reviews,url
563977,Mental,How Men Strengthen Their Mindset,N/A,N/A
564654,mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub",N/A,N/A
570505,Yuna AI — Your Mental Health Coach,A safe place for self-discovery,N/A,N/A
1090491,Ash,The first AI designed for therapy,N/A,N/A
881782,todai,Your first personalized happy lifestyle index,N/A,N/A
664426,TherapyAI,AI Therapist for stress and anxiety,N/A,N/A
1136436,Unloop,Map the patterns that keep you stuck.,N/A,N/A
598860,MYND,24/7 AI Bestie For Your Mental Wellness,N/A,N/A
544793,Soula Care,"AI-powered assistant for pregnancy, birth and postpartum",N/A,N/A
578234,Guin - Your GoodMind Buddy,It's all about YOU!,N/A,N/A
